,wavelength,n,k
0,0.226076263,2.031278,1.35511
1,0.227672363,2.0676,1.36303
2,0.229268463,2.097403,1.361175
3,0.230864594,2.120182,1.353162
4,0.232460739,2.136108,1.34168
5,0.234056915,2.145698,1.328842
6,0.235653107,2.149715,1.316365
7,0.237249313,2.149139,1.305654
8,0.238845535,2.145204,1.297827
9,0.240441772,2.139533,1.293643
10,0.24203801,2.134029,1.292769
11,0.243634308,2.12956,1.294171
12,0.24523056,2.126444,1.297074
13,0.246826874,2.124787,1.300861
14,0.248423187,2.124569,1.305033
15,0.250019531,2.125682,1.309177
16,0.251615875,2.12795,1.31296
17,0.253212234,2.131143,1.316116
18,0.254808594,2.134975,1.318452
19,0.256404968,2.139075,1.319866
20,0.258001404,2.143071,1.320511
21,0.259597809,2.146822,1.320616
22,0.261194214,2.150276,1.320354
23,0.262790649,2.153419,1.319861
24,0.264387085,2.156262,1.31925
25,0.265983551,2.158832,1.318615
26,0.267580017,2.161168,1.318034
27,0.269176483,2.163323,1.317571
28,0.27077298,2.165357,1.317275
29,0.272369446,2.167347,1.317182
30,0.273965973,2.169389,1.317309
31,0.275562469,2.171595,1.317602
32,0.277158997,2.174003,1.31797
33,0.278755524,2.176619,1.318341
34,0.280352081,2.179428,1.318655
35,0.281948608,2.18241,1.318866
36,0.283545135,2.185537,1.318933
37,0.285141693,2.188776,1.318825
38,0.286738251,2.192091,1.318514
39,0.288334839,2.195439,1.317981
40,0.289931396,2.198776,1.317211
41,0.291527985,2.202052,1.316196
42,0.293124573,2.205207,1.314934
43,0.29472113,2.208169,1.313439
44,0.296317719,2.210863,1.311773
45,0.297914307,2.213264,1.310018
46,0.299510895,2.215373,1.308238
47,0.301107483,2.2172,1.306488
48,0.302704071,2.218762,1.304816
49,0.30430069,2.220081,1.303262
50,0.305897278,2.221184,1.301861
51,0.307493866,2.222099,1.300643
52,0.309090485,2.222859,1.299634
53,0.310687073,2.223498,1.298854
54,0.312283661,2.224055,1.298321
55,0.31388028,2.224572,1.298047
56,0.315476868,2.225093,1.298038
57,0.317073456,2.225671,1.298298
58,0.318670044,2.226372,1.298814
59,0.320266632,2.227259,1.299535
60,0.32186322,2.228358,1.300395
61,0.323459808,2.229671,1.301341
62,0.325056396,2.231197,1.302327
63,0.326652954,2.232925,1.303314
64,0.328249542,2.234844,1.304268
65,0.32984613,2.236936,1.305157
66,0.331442688,2.239184,1.305955
67,0.333039246,2.241566,1.306639
68,0.334635773,2.244061,1.30719
69,0.33623233,2.246643,1.307589
70,0.337828857,2.249289,1.307824
71,0.339425385,2.25197,1.307882
72,0.341021912,2.254659,1.307755
73,0.342618439,2.257325,1.307437
74,0.344214935,2.259933,1.306925
75,0.345811462,2.262446,1.30622
76,0.347407928,2.264815,1.305339
77,0.349004425,2.267005,1.304322
78,0.350600891,2.269005,1.303208
79,0.352197357,2.27081,1.302028
80,0.353793793,2.272418,1.30081
81,0.355390259,2.273832,1.299578
82,0.356986664,2.275056,1.298356
83,0.358583099,2.276097,1.297163
84,0.360179504,2.276962,1.296017
85,0.361775909,2.277658,1.294934
86,0.363372284,2.278197,1.293929
87,0.364968658,2.278587,1.293015
88,0.366565002,2.27884,1.292204
89,0.368161346,2.278967,1.291507
90,0.36975766,2.278982,1.290931
91,0.371353973,2.278896,1.290487
92,0.372950287,2.278723,1.290181
93,0.37454657,2.278478,1.290018
94,0.376142853,2.278176,1.290003
95,0.377739075,2.277833,1.29014
96,0.379335327,2.277467,1.290429
97,0.380931549,2.277102,1.290867
98,0.382527771,2.276755,1.291439
99,0.384123932,2.276433,1.292131
100,0.385720093,2.276143,1.292931
101,0.387316223,2.275888,1.29383
102,0.388912384,2.275673,1.294818
103,0.390508484,2.275497,1.295887
104,0.392104553,2.275364,1.297029
105,0.393700623,2.275272,1.298236
106,0.395296692,2.275222,1.299502
107,0.396892731,2.275214,1.300821
108,0.398488708,2.275246,1.302187
109,0.400084717,2.275318,1.303596
110,0.401680695,2.275428,1.305041
111,0.403276642,2.275575,1.30652
112,0.404872559,2.275756,1.308027
